epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,112.129,0.94835,1.83935,0.96936,1,0.80064,0.94167,0.78813,0.84975,2.61301,0.83917,0.0012872,0.0012872,0.0012872
20,118.007,1.03823,2.00643,1.00041,1,0.8233,0.915,0.69028,0.81627,2.26561,0.83155,0.0012476,0.0012476,0.0012476
21,123.877,0.89221,1.95679,0.92934,1,0.8233,0.915,0.69028,0.81627,2.26561,0.83155,0.001208,0.001208,0.001208
22,129.9,0.88046,1.96726,0.95355,0.98605,0.83333,0.955,0.79757,0.84628,2.26644,0.85848,0.0011684,0.0011684,0.0011684
23,135.746,0.86036,1.70106,0.9037,0.98605,0.83333,0.955,0.79757,0.84628,2.26644,0.85848,0.0011288,0.0011288,0.0011288
24,141.727,1.08366,2.58458,1.00484,1,0.97757,0.995,0.82957,0.90643,2.14522,0.87529,0.0010892,0.0010892,0.0010892
25,147.788,0.90609,1.62936,0.90429,1,0.97757,0.995,0.82957,0.90643,2.14522,0.87529,0.0010496,0.0010496,0.0010496
26,153.754,0.90889,1.59421,0.91654,0.98851,0.83333,0.955,0.7745,0.90363,1.86416,0.86931,0.00101,0.00101,0.00101
27,159.717,0.9963,1.64721,0.95313,0.98851,0.83333,0.955,0.7745,0.90363,1.86416,0.86931,0.0009704,0.0009704,0.0009704
28,165.515,0.89768,1.80247,1.04089,0.98851,0.83333,0.955,0.7745,0.90363,1.86416,0.86931,0.0009308,0.0009308,0.0009308
29,171.469,0.99502,1.75489,1.0154,0.85278,0.96948,0.97214,0.76941,0.92034,1.73427,0.86975,0.0008912,0.0008912,0.0008912
30,177.374,0.96241,1.77142,0.91818,0.85278,0.96948,0.97214,0.76941,0.92034,1.73427,0.86975,0.0008516,0.0008516,0.0008516
31,183.206,1.06646,2.25824,1.1349,0.85489,0.98425,0.97214,0.73445,0.87183,1.82216,0.87635,0.000812,0.000812,0.000812
32,189.499,0.94845,1.55087,0.93738,0.85489,0.98425,0.97214,0.73445,0.87183,1.82216,0.87635,0.0007724,0.0007724,0.0007724
33,195.509,1.01274,1.95075,1.06149,0.84618,1,0.97214,0.75013,0.95023,1.6626,0.88809,0.0007328,0.0007328,0.0007328
34,201.35,0.78889,2.16092,0.92715,0.84618,1,0.97214,0.75013,0.95023,1.6626,0.88809,0.0006932,0.0006932,0.0006932
35,207.275,0.80416,1.54446,0.93914,0.84618,1,0.97214,0.75013,0.95023,1.6626,0.88809,0.0006536,0.0006536,0.0006536
36,213.104,0.93273,2.18532,0.98994,0.83026,1,0.97214,0.72051,0.98315,1.55684,0.89169,0.000614,0.000614,0.000614
37,218.927,0.78092,1.47171,0.87388,0.83026,1,0.97214,0.72051,0.98315,1.55684,0.89169,0.0005744,0.0005744,0.0005744
38,224.861,0.9997,2.5091,1.09159,1,0.99747,0.995,0.73422,0.98367,1.63848,0.89323,0.0005348,0.0005348,0.0005348
39,231.206,0.83512,1.48163,0.91128,1,0.99747,0.995,0.73422,0.98367,1.63848,0.89323,0.0004952,0.0004952,0.0004952
40,237.564,0.82596,1.47017,0.8775,0.99571,1,0.995,0.6945,1.01047,1.54091,0.88417,0.0004556,0.0004556,0.0004556
41,243.372,0.83398,1.64813,0.92059,0.99571,1,0.995,0.6945,1.01047,1.54091,0.88417,0.000416,0.000416,0.000416
42,249.24,0.79438,1.56647,0.86827,0.99423,1,0.995,0.73447,0.94153,1.49791,0.86888,0.0003764,0.0003764,0.0003764
43,255.122,0.70059,1.61852,0.89937,0.99423,1,0.995,0.73447,0.94153,1.49791,0.86888,0.0003368,0.0003368,0.0003368
44,261.054,0.74248,1.50467,0.9073,0.99423,1,0.995,0.73447,0.94153,1.49791,0.86888,0.0002972,0.0002972,0.0002972
45,266.946,0.80454,1.61522,0.90229,0.99421,1,0.995,0.76361,0.89556,1.50982,0.85983,0.0002576,0.0002576,0.0002576
46,272.876,0.67708,1.5021,0.88071,0.99421,1,0.995,0.76361,0.89556,1.50982,0.85983,0.000218,0.000218,0.000218
47,278.777,0.64181,1.60033,0.93485,0.99603,1,0.995,0.7806,0.88842,1.52875,0.85286,0.0001784,0.0001784,0.0001784
48,284.749,0.75827,1.56354,0.92174,0.99603,1,0.995,0.7806,0.88842,1.52875,0.85286,0.0001388,0.0001388,0.0001388
49,290.658,0.76493,1.62222,0.9183,0.99949,1,0.995,0.7806,0.8867,1.55601,0.85132,9.92e-05,9.92e-05,9.92e-05
50,296.592,0.70607,1.57949,0.9185,0.99949,1,0.995,0.7806,0.8867,1.55601,0.85132,5.96e-05,5.96e-05,5.96e-05
